ORG. JUR,RAZON SOCIAL,NIT,MUN-COMERCIAL,CIIU-1,CIIU-2,CIIU-3,CIIU-4,ACTIVIDAD,NOMBRE PROPIO,NOMBRE REPRESENTANTE LEGAL
2,DELICIAS DE DOÑA TATA,,15223 - CUBARA,C1082 ** Elaboracion de cacao  chocolate y productos de confiteria,A0130 ** Propagacion de plantas (actividades de los viveros  excepto viveros forestales),C2012 ** Fabricacion de abonos y compuestos inorganicos nitrogenados,A0161 ** Actividades de apoyo a la agricultura,TRANSFORMACIÓN DE CACAO EN CHOCOLATETRADICIONAL  PROPAGACIÓN DE PLANTAS  FABRICACIÓN DE ABONOS ORGÁNICOS  Y ACTIVIDADES DE APOYO A LA AGRICULTURA.,GONZALEZ CAMOA LUCY NORLEY,
2,DONDE MATHIE,,15223 - CUBARA,C1410 ** Confeccion de prendas de vestir  excepto prendas de piel,G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados,C1084 ** Elaboracion de comidas y platos preparados,G4751 ** Comercio al por menor de productos textiles en establecimientos especializados,CONFECCION DE PRENDAS DE VESTIR COMERCIO AL POR MENOR DE LIBROS  PERIODICOS  MATERIALES ELABORACION DE COMIDAS Y PLATOS PREPARADOS COMERCIO AL POR MENOR DE PRODUCTOS TEXTILES EN ESTABLECIMIENTO,TARAZONA CACERES LIZETH CAROLINA,
2,TEAM BAKUA,,15223 - CUBARA,C1410 ** Confeccion de prendas de vestir  excepto prendas de piel,N8230 ** Organizacion de convenciones y eventos comerciales,G4762 ** Comercio al por menor de articulos deportivos  en establecimientos especializados,,Confección de prendas de vestir  excepto prendas de piel  Organización de convenciones y eventos comerciales  Comercio al por menor de artículos deportivos,JOSE PEÑALOZA FERNANDEZ,
2,CREACIONES GRIMA`S,,15223 - CUBARA,C1410 ** Confeccion de prendas de vestir  excepto prendas de piel,G4762 ** Comercio al por menor de articulos deportivos  en establecimientos especializados,I5629 ** Actividades de otros servicios de comidas,G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados,CONFECCION DE PRENDAS DE VESTIR ELABORACION DE PRENDAS DEPORTIVAS,GRIMALDOS DIAZ NERY,
2,CARPINTERIA TANA,,15223 - CUBARA,C1630 ** Fabricacion de partes y piezas de madera  de carpinteria y ebanisteria para la construccion,C3110 ** Fabricacion de muebles,,,Fabricacion de partes y piezas de madera  de carpinteria y ebanisteria  Fabricacion de muebles,MORENO MORENO TANIA MARIA,
2,CARPINTERIA  MORINELLY,,15223 - CUBARA,C1630 ** Fabricacion de partes y piezas de madera  de carpinteria y ebanisteria para la construccion,G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados,,,FABRICACION DE PARTES Y PIEZAS DE MADERA  DE CARPINTERIA Y EBANISTERIA PARA LA CONSTRUCCION COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO  MUEBLES Y EQUIPOS DE ILUMINACION,MORINELLY CRUZ NELSON ENRIQUE,
1,RODRIGUEZ GUTIERREZ JOSE NOEL,41659544,15223 - CUBARA,C2395 ** Fabricacion de articulos de hormigon  cemento y yeso,C2399 ** Fabricacion de otros productos minerales no metalicos n.c.p.,R9005 ** Artes plasticas y visuales,,FABRICACIÓN DE ARTÍCULOS DE HORMIGÓN  CEMENTO Y YESO FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS N.C.P.,,
2,FABRIORIENTE WCJ,,15223 - CUBARA,C2395 ** Fabricacion de articulos de hormigon  cemento y yeso,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,,,comercio de lavaderos prefabricados  ladrillos  cajas de inspección  tubería comercio de pego para cerámica,CARRILLO TAMARAN LUIS CARLOS,
2,METALICAS EL FOCO,,15223 - CUBARA,C2511 ** Fabricacion de productos metalicos para uso estructural,I5619 ** Otros tipos de expendio de comidas preparadas n.c.p.,,,FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL EXPENDIO A LA MESA DE COMIDAS PREPARADAS,JEREZ APONTE JESUS ANTONIO,
2,TALLER METALMECANICO VILLA,,15223 - CUBARA,C2511 ** Fabricacion de productos metalicos para uso estructural,C3311 ** Mantenimiento y reparacion especializado de productos elaborados en metal,,,FABRICACIÓN DE PRODUCTOS METÁLICOS PARA USO ESTRUCTURAL  MANTENIMIENTO Y REPARACIÓN DE PRODUCTOS ELABORADOS EN METAL,VILLA GALLEGO EDILBERTO,
2,ASERRIO LA MANIGUA,,15223 - CUBARA,C3110 ** Fabricacion de muebles,C1610 ** Aserrado  acepillado e impregnacion de la madera,,,COMERCIALIZACIÓN DE MADERA  FABRICACION DE MUEBLES EN GENERAL.,SEPULVEDA SUESCUN PABLO EMILIO,
2,TALLER EL MAQUINISTA,,15223 - CUBARA,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,F4111 ** Construccion de edificios residenciales,,,REPARACIÓN Y MANTENIMIENTO DE GUADAÑAS Y LA DE VENTA DE SUS REPUESTOS.,BERBESY FERNANDEZ PABLO EMILIO,
1,ARGUELLO TRUJILLO CRISTIAN ENRIQUE,10184665663,15223 - CUBARA,C3313 ** Mantenimiento y reparacion especializado de equipo electronico y optico,G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,G4652 ** Comercio al por mayor de equipo  partes y piezas electronicos y de telecomunicaciones,,MANTENIMIENTO DE EQUIPOS MÉDICOS  COMERCIO DE SUMINISTROS DE REPUESTOS Y ACCESORIOS PARA DISPOSITIVOS MEDICOS Y MOBILIARIOS HOSPITALARIOS.,,
2,MECÁNICA Y MANTENIMIENTO INDUSTRIAL CASTILLO,,15223 - CUBARA,C3320 ** Instalacion especializada de maquinaria y equipo industrial,C3312 ** Mantenimiento y reparacion especializado de maquinaria y equipo,G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,,MANTENIMIENTO INDUSTRIAL  MECÁNICO ELÉCTRICO METALMECÁNICO INDUSTRIAL  SUMINISTRO Y REPUESTOS MATERIALES Y EQUIPO INDUSTRIAL,CASTILLO SANTANDER YORMAN ALEXIS,
1,SEPULVEDA MARIN JUAN PABLO,10493949479,15223 - CUBARA,F4111 ** Construccion de edificios residenciales,G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados,,,1. CONSTRUCCION DE EDIFICIOS RESIDENCIALES 2. COMERCIO AL POR MENOR DE ELECTRODOMESTICOS Y GASODOMESTICOS DE USO DOMESTICO  MUEBLES Y EQUIPOS DE ILUMINACION,,
1,BECERRA MORA  NELSO,94670434,15223 - CUBARA,F4111 ** Construccion de edificios residenciales,,,,CONSTRUCCION DE EDIFICIOS RESIDENCIALES,,
12,ASOCIACION POPULAR DE VIVIENDA RENACER DEL CAMPO,9004132985,15223 - CUBARA,F4111 ** Construccion de edificios residenciales,S9499 ** Actividades de otras asociaciones n.c.p.,,,,,VILLAMIZAR BECERRA EVA
3,SUMINISTROS REPARACIONES Y CONSTRUCCIONES DEL SARARE LTDA.,9005175890,15223 - CUBARA,F4220 ** Construccion de proyectos de servicio publico,F4111 ** Construccion de edificios residenciales,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,H4922 ** Transporte mixto,,,RIOS CAÑAS SALVADOR
16,CONSTRUINDUCIVIL S.A.S,9013756845,15223 - CUBARA,F4220 ** Construccion de proyectos de servicio publico,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,F4290 ** Construccion de otras obras de ingenieria civil,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES  COMERCIO DE PARTES  PIEZAS Y REPUESTOS  COMERCIO DE LUBRICANTES  CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL.,,CRISTANCHO CARVAJAL ANA ALEJANDRA
1,LOPEZ OCHOA WILSON YOVANNI,880317397,15223 - CUBARA,F4290 ** Construccion de otras obras de ingenieria civil,R9007 ** Actividades de espectaculos musicales en vivo,,,1. CONSTRUCCION DE OTRAS OBRAS DE INGENIERIA CIVIL 2. ACTIVIDADES DE ESPECTACULOS MUSICALES EN VIVO,,
16,SIRUA INVERSIONES S.A.S,9011317703,15223 - CUBARA,F4290 ** Construccion de otras obras de ingenieria civil,F4312 ** Preparacion del terreno,F4321 ** Instalaciones electricas,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,,,CHACON JAIMES YURY KARINA
12,ASOCIACION DE MAQUINARIA PESADA DEL NORTE DE SANTANDER,9014631913,15223 - CUBARA,F4290 ** Construccion de otras obras de ingenieria civil,F4312 ** Preparacion del terreno,H4923 ** Transporte de carga por carretera,N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.,MANTENIMIENTO Y REPARACION DE OTROS EQUIPOS  TRANSPORTE MIXTO  COMERCIO DE MATERIALES DE CONSTRUCCION Y FERRETERIA. CATERING PARA EVENTOS.,,RINCON ALVAREZ DENNY ADONAI
14,COOPERATIVA DE TRABAJO ASOCIADO CUBARA BOYACA,8260034028,15223 - CUBARA,F4290 ** Construccion de otras obras de ingenieria civil,F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,S9499 ** Actividades de otras asociaciones n.c.p.,,,,GAMBOA JAIMES ELGAR
16,CONSTRUCCIONES SERVICIOS Y SUMINISTROS ALFEL S.A.S,9012516226,15223 - CUBARA,F4290 ** Construccion de otras obras de ingenieria civil,N8230 ** Organizacion de convenciones y eventos comerciales,M7310 ** Publicidad,G4631 ** Comercio al por mayor de productos alimenticios,,,BARRERA CAMARGO DIANA CAROLINA
16,DUCFA S.A.S,9009531453,15223 - CUBARA,F4321 ** Instalaciones electricas,M7112 ** Actividades de ingeniería y otras actividades conexas de consultoría técnica,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,F4112 ** Construccion de edificios no residenciales,,,DURAN GARCIA JOHANY
2,ESTACION DE SERVICIO AUTOMOTRIZ EL RUISEÑOR,,15223 - CUBARA,G4731 ** Comercio al por menor de combustible para automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,,,COMERCIO DE COMBUSTIBLES PARA AUTOMOTORES  COMERCIO DE LUBRICANTES  (ACEITES  GRASAS) ADITIVOS.,PEÑA PEÑA CARLOS ALBERTO,
1,BARRERA CAMARGO DIANA CAROLINA,10942660574,15223 - CUBARA,F4330 ** Terminacion y acabado de edificios y obras de ingenieria civil,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,C1410 ** Confeccion de prendas de vestir  excepto prendas de piel,P8551 ** Formación para el trabajo,TERMINACIÓN Y ACABO DE EDIFICACIONES Y OBRAS DE INGENIERÍA CIVIL. COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS  COMERCIO DE COMPUTADORES Y EQUIPOS  PERIFERICOS. FORMACIÓN ACADÉMICA NO FORMAL,,
1,ALVAREZ GELVEZ WALFREDO,71871970,15223 - CUBARA,F4390 ** Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,,,,OTRAS ACTIVIDADES ESPECIALIZADAS PARA LA CONSTRUCCION DE EDIFICIOS Y OBRAS DE INGENIERIA CIVIL,,
2,TALLER DE MECANICA DAVSEL,,15223 - CUBARA,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,MANTENIMIENTO Y REPARACION DE VEHICULOS COMERCIO DE PARTES  PIEZAS,VILLAMIZAR LOPEZ FRANCY GISELLA,
2,MOTO REPUESTOS SAMIR,,15223 - CUBARA,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4541 ** Comercio de motocicletas y de sus partes  piezas y accesorios,,,COMERCIO DE PIEZAS  PARTES Y ACCESORIOS PARA VEHÍCULOS AUTOMOTORES,NAVARRO CHAVEZ BLADIMIR,
2,REPUESTOS Y LUBRICANTES EL DESVARE,,15223 - CUBARA,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,G4520 ** Mantenimiento y reparacion de vehiculos automotores,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,G4759 ** Comercio al por menor de otros articulos domesticos en establecimientos especializados,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS) PARA VEHÍCULOS AUTOMOTORES MANTENIMIENTO Y REPARACIÓN DE VEHÍCULOS AUTOMOTORES COMERCIO AL POR MENOR DE LUBRICANTES (ACEITES  GRASAS)  ADITIVOS Y PRODUCTOS DE LIMPIEZA PARA VEHÍCULOS AUTOMOTORES  PRODUCTOS DE ASEO,CARRILLO GEREDA BLANCA MILETH,
2,ALMACEN Y REPUESTOS CUBARA MOTOS,,15223 - CUBARA,G4530 ** Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehiculos automotores,,,,COMERCIO DE PARTES  PIEZAS (AUTOPARTES) Y ACCESORIOS (LUJOS),PRIETO SANABRIA ARMANDO,
1,SOSSA LUNA ANGELMIRO,135632871,15223 - CUBARA,G4610 ** Comercio al por mayor a cambio de una retribucion o por contrata,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,,,COMISIONISTA POR VENTAS DE INMUEBLES.,,
2,VIVERES FRUTAS Y VERDURAS DANY,,15223 - CUBARA,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.,H4921 ** Transporte de pasajeros,COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS  COMERCIO AL POR MENOR DE VÍVERES EN GENERAL  ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA Y SERVICIO DE TRANSPORTE DE PASAJEROS.,TRILLOS BERBESI DANIEL,
2,SUMINISTRO Y DOTACIONES TRILLOS,,15223 - CUBARA,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,N7730 ** Alquiler y arrendamiento de otros tipos de maquinaria  equipo y bienes tangibles n.c.p.,G4761 ** Comercio al por menor de libros  periodicos  materiales y articulos de papeleria y escritorio  en establecimientos especializados,COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS  COMERCIO AL POR MENOR DE VÍVERES EN GENERAL  ALQUILER Y ARRENDAMIENTO DE OTROS TIPOS DE MAQUINARIA Y COMERCIO AL POR MENOR DE ARTÍCULOS DE PAPELERÍA.,TRILLOS ROJAS WILMER ALEXANDER,
2,SUMINISTROS E&A,,15223 - CUBARA,G4620 ** Comercio al por mayor de materias primas agropecuarias  animales vivos,G4773 ** Comercio al por menor de productos farmaceuticos y medicinales  cosmeticos y articulos de tocador en establecimientos especializados,A0161 ** Actividades de apoyo a la agricultura,M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.,COMERCIO AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS  ANIMALES VIVOS  COMERCIO DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y ARTICULOS DE TOCADOR  ACTIVIDADES DE APOYO A LA AGRICULTURA  OTRAS ACTIVIDADES PROFESIONALES  CIENTIFICAS Y TECNICAS N.C.P,ESTRELLA APONTE TORRES,
2,AGROPUNTO EL NORTEÑO,,15223 - CUBARA,G4631 ** Comercio al por mayor de productos alimenticios,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,,,COMERCIO AL POR MAYOR DE PRODUCTOS ALIMENTICIOS COMERCIO AL POR MENOR DE ARTICULOS DE FERRETERIA  PINTURAS Y PRODUCTOS DE VIDRIO EN ESTABLECIMIENTOS ESPECIALIZADOS,MENDEZ VELANDIA CLEMENTE,
1,SEPULVEDA SUESCUN BLANCA IRENE,335155439,15223 - CUBARA,G4644 ** Comercio al por mayor de aparatos y equipo de uso domestico,G4651 ** Comercio al por mayor de computadores  equipo periferico y programas de informatica,G4643 ** Comercio al por mayor de calzado,,COMERCIO AL POR MAYOR DE APARATOS Y EQUIPOS DE USO DOMESTICO  COMERCIO DE COMPUTADORES  EQUIPOS PERIFÉRICOS Y PROGRAMAS DE INFORMATIVA  COMERCIO DE CALZADO.,,
2,DROGUERIA GALENA,,15223 - CUBARA,G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,,,VENTA DE PRODUCTOS FARMACÉUTICOS EN GENERAL.,SALAMANCA SANCHEZ JHON JAIRO,
2,DISPENSARIO CUBARA MYT SALUD IPS SAS,,15223 - CUBARA,G4645 ** Comercio al por mayor de productos farmaceuticos  medicinales  cosmeticos y de tocador,,,,COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS  MEDICINALES  COSMETICOS Y DE TOCADOR.,MYT SALUD IPS SAS,
1,ARAUJO NAJAR OSCAR DAVID,10493949153,15223 - CUBARA,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,R9200 ** Actividades de juegos de azar y apuestas,COMERCIO AL POR MAYOR DE OTROS UTENSILIOS DOMESTICOS  COMERCIO AL POR MAYOR DE PRODUCTOS QUIMICOS BASICOS  COMERCIO AL POR MENOR DE VIVERES EN GENERAL Y ACTIVIDADES DE JUEGOS DE SUERTE Y AZAR,,
1,PRATO BOGOTA MILANYELY DAYNAYLE,10049144341,15223 - CUBARA,M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.,,,,SERVICIO DE INTERPRETACIÓN DE LA LENGUA UWA,,
16,FRASCO SUMINISTROS  CONSTRUCCIONES E INGENIERIA S.A.S,9016292314,15223 - CUBARA,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,F4290 ** Construccion de otras obras de ingenieria civil,I5621 ** Catering para eventos,Comercio al por mayor de otros utensilios domésticos. Comercio al por mayor de otros tipos de maquinaria y equipo. Construcción de otras obras de ingeniería civil.,,SANTANDER FRASCO NEYDER ALEXANDER
2,SERVI CELL LEAL,,15223 - CUBARA,G4652 ** Comercio al por mayor de equipo  partes y piezas electronicos y de telecomunicaciones,S9512 ** Mantenimiento y reparacion de equipos de comunicacion,J6120 ** Actividades de telecomunicaciones inalambricas,,1. COMERCIO DE ACCESORIOS DE CELULARES 2. MANTENIMIENTO Y REPARACION DE EQUIPOS DE COMUNICACION 3. RECARGAS,LEAL ESTEBAN ERIK GEOVANNY,
16,S & M GONZALEZ S.A.S,9015686575,15223 - CUBARA,G4659 ** Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,G4721 ** Comercio al por menor de productos agricolas para el consumo en establecimientos especializados,G4649 ** Comercio al por mayor de otros utensilios domesticos n.c.p.,COMERCIO AL MAYOR DE MATERIALES DE CONSTRUCCION  COMERCIO DE VIVERES  PRODUCTOS AGRICOLAS Y ELECTRODOMESTICOS.,,GONZALEZ JAIMES YUDLY LICETH
2,ESTACION DE SERVICIO BRISAS DEL BOJABA,,15223 - CUBARA,G4661 ** Comercio al por mayor de combustibles solidos  liquidos  gaseosos y productos conexos,G4731 ** Comercio al por menor de combustible para automotores,H4923 ** Transporte de carga por carretera,G4732 ** Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehiculos automotores,1. COMERCIO AL POR MAYOR DE COMBUSTIBLES SOLIDOS  LIQUIDOS  GASEOSOS Y PRODUCTOS CONEXOS 2. COMERCIO AL POR MENOR DE COMBUSTIBLE PARA AUTOMOTORES,ZABALA PINEDA NELLY,
2,FERREMATERIALES CUBARA,,15223 - CUBARA,G4663 ** Comercio al por mayor de materiales de construccion  articulos de ferreteria  pinturas  productos de vidrio  equipo y materiales de fontaneria y calefaccion,G4752 ** Comercio al por menor de articulos de ferreteria  pinturas y productos de vidrio en establecimientos especializados,G4754 ** Comercio al por menor de electrodomésticos y gasodomésticos  muebles y equipos de iluminación en establecimientos especializados,F4220 ** Construccion de proyectos de servicio publico,COMERCIO AL POR MAYOR Y AL MENOR DE MATERIALES PARA CONSTRUCCIÓN  ARTÍCULOS DE FERRETERÍA  ARTÍCULOS ELÉCTRICOS. COMERCIO DE ELECTRODOMÉSTICOS Y MUEBLES EN GENERAL.,TRIANA ARIAS JORGE ALBERTO,
2,CAFER DISTRIBUCIONES,,15223 - CUBARA,G4664 ** Comercio al por mayor de productos quimicos basicos  cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,M7490 ** Otras actividades profesionales  cientificas y tecnicas n.c.p.,M7500 ** Actividades veterinarias,N8130 ** Actividades de paisajismo y servicios de mantenimiento conexos,COMERCIO DE PRODUCTOS QUÍMICOS  ABONOS ORGÁNICOS E INORGÁNICOS  MATERIAS PRIMAS AGROPECUARIAS  PRODUCTOS VETERINARIOS Y PARA EL AGRO. ACTIVIDADES VETERINARIAS Y OTRAS ACTIVIDADES PROFESIONALES Y TÉCNICAS.,CAICEDO ROZO FERNANDO,
2,TIENDA CAÑITAS,,15223 - CUBARA,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,,,,VENTA DE VIVERES Y ABARROTES PARA LA CANASTA FAMILIAR,ALARCON MORENO ELOINA,
2,VIVERES LA MEGA ECONOMICA,,15223 - CUBARA,G4711 ** Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas (alcohólicas y no alcohólicas) o tabaco,G4724 ** Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados,,,COMERCIO DE VIVERES Y PRODUCTOS DE LA CANASTA FAMILIAR,ESTEBAN TARAZONA FABIAN,
